class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",3,1521,Ziggy Stardust,Bowers A. Cone,Lisa Howard,79.00,$30
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",4,1926,Costello,Allison Beck,Allison Beck,78.00,$24
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",5,1185,Macallan,Victoria Free Knott,Reagan Brown,77.00,$22
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",6,2104,Lunada Bay,Annie P. Bolling,Kathryn Billesdon,75.00,$20
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",7,2101,Collin Fz Z,Annie P. Bolling,Brooke Billesdon,73.00,
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",8,1854,Keira Usa,Madison Wayda Smith,Julie P. Montgomery,65.00,
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",,1749,Coffee,Kirsten L. Malacarne,Kirsten L. Malacarne,45.00,
33428,11979,38,"$200 Performance Hunter 3'6""/3'3""",,2040,Troubador,Stephanie Frey,Suzanne Deuel,44.00,
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",1,1521,Ziggy Stardust,Bowers A. Cone,Lisa Howard,85.00,$60
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",2,2366,Kandoo Pj,Jake Evans,Equestrian Dreams LLC,83.00,$44
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",3,1662,Miles Ahead,Katherine F. Dewar,Katherine F. Dewar,82.00,$30
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",4,2104,Lunada Bay,Annie P. Bolling,Kathryn Billesdon,80.00,$24
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",5,1749,Coffee,Kirsten L. Malacarne,Kirsten L. Malacarne,78.00,$22
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",6,2040,Troubador,Stephanie Frey,Suzanne Deuel,77.50,$20
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",7,1854,Keira Usa,Madison Wayda Smith,Julie P. Montgomery,77.00,
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",8,1185,Macallan,Victoria Free Knott,Reagan Brown,76.00,
33429,11979,39,"$200 Performance Hunter 3'6""/3'3""",,2101,Collin Fz Z,Annie P. Bolling,Brooke Billesdon,72.00,
33430,11979,40,"$200 Performance Hunter 3'6""/3'3""",1,1662,Miles Ahead,Katherine F. Dewar,Katherine F. Dewar,81.00,$60
33430,11979,40,"$200 Performance Hunter 3'6""/3'3""",2,2040,Troubador,Stephanie Frey,Suzanne Deuel,80.00,$44
33430,11979,40,"$200 Performance Hunter 3'6""/3'3""",3,1190,Talk To Me,Victoria Free Knott,Kendall King,77.00,$30
33430,11979,40,"$200 Performance Hunter 3'6""/3'3""",4,1749,Coffee,Kirsten L. Malacarne,Kirsten L. Malacarne,70.00,$24
33430,11979,40,"$200 Performance Hunter 3'6""/3'3""",5,1521,Ziggy Stardust,Bowers A. Cone,Lisa Howard,68.00,$22
33430,11979,40,"$200 Performance Hunter 3'6""/3'3""",,2065,Primo Aslan,Elizabeth C. de Golian,Faith Umland,,
33431,11979,41,"$200 Performance Hunter 3'6""/3'3""-Handy",1,2040,Troubador,Stephanie Frey,Suzanne Deuel,85.00,$60
33431,11979,41,"$200 Performance Hunter 3'6""/3'3""-Handy",2,1521,Ziggy Stardust,Bowers A. Cone,Lisa Howard,81.00,$44
33431,11979,41,"$200 Performance Hunter 3'6""/3'3""-Handy",3,1749,Coffee,Kirsten L. Malacarne,Kirsten L. Malacarne,80.00,$30
33431,11979,41,"$200 Performance Hunter 3'6""/3'3""-Handy",4,1190,Talk To Me,Victoria Free Knott,Kendall King,77.00,$24
33431,11979,41,"$200 Performance Hunter 3'6""/3'3""-Handy",5,1662,Miles Ahead,Katherine F. Dewar,Katherine F. Dewar,73.00,$22
33432,11979,42,"Performance Hunter 3'6""/3'3"" U/S",,1521,Ziggy Stardust,Bowers A. Cone,Lisa Howard,,
33432,11979,42,"Performance Hunter 3'6""/3'3"" U/S",,2366,Kandoo Pj,Jake Evans,Equestrian Dreams LLC,,
33438,11981,48,"Young Hunter 2'9""/3'",1,2350,Likely,Joshua Tabor,Gunnar P. Roeer,,
33438,11981,48,"Young Hunter 2'9""/3'",2,1562,Raja J,Morgan Cusick,Morgan Cusick,,
33439,11981,49,"Young Hunter 2'9""/3'",1,2350,Likely,Joshua Tabor,Gunnar P. Roeer,,
33439,11981,49,"Young Hunter 2'9""/3'",2,1562,Raja J,Morgan Cusick,Morgan Cusick,,
33440,11981,50,"Young Hunter 2'9""/3'",1,1562,Raja J,Morgan Cusick,Morgan Cusick,,
33440,11981,50,"Young Hunter 2'9""/3'",2,2350,Likely,Joshua Tabor,Gunnar P. Roeer,,
33441,11981,51,"Young Hunter 2'9""/3'",1,2350,Likely,Joshua Tabor,Gunnar P. Roeer,,
33441,11981,51,"Young Hunter 2'9""/3'",2,1562,Raja J,Morgan Cusick,Morgan Cusick,,
33476,11988,80,"$300 AO Hunter 3'6""/3'3""",1,1008,Lost Boy,Kimberly S. Maloomian,Terry S Maloomian,86.00,$90
33476,11988,80,"$300 AO Hunter 3'6""/3'3""",2,1009,Only Always,Kimberly S. Maloomian,Kimberly S. Maloomian,84.00,$66
33476,11988,80,"$300 AO Hunter 3'6""/3'3""",3,1926,Costello,Allison Beck,Allison Beck,70.00,$45
33477,11988,81,"$300 AO Hunter 3'6""/3'3"" (1st rnd Classic)",1,1008,Lost Boy,Kimberly S. Maloomian,Terry S Maloomian,82.00,$90
33477,11988,81,"$300 AO Hunter 3'6""/3'3"" (1st rnd Classic)",2,1009,Only Always,Kimberly S. Maloomian,Kimberly S. Maloomian,78.00,$66
33477,11988,81,"$300 AO Hunter 3'6""/3'3"" (1st rnd Classic)",3,1926,Costello,Allison Beck,Allison Beck,72.00,$45
33478,11988,82,"$300 AO Hunter 3'3""/3'6""",1,1009,Only Always,Kimberly S. Maloomian,Kimberly S. Maloomian,87.00,$90
33478,11988,82,"$300 AO Hunter 3'3""/3'6""",2,1008,Lost Boy,Kimberly S. Maloomian,Terry S Maloomian,83.00,$66
33478,11988,82,"$300 AO Hunter 3'3""/3'6""",3,1926,Costello,Allison Beck,Allison Beck,75.00,$45
33479,11988,83,"$300 AO Hunter 3'3""/3'6"" 18-35-Handy/36+-Handy",1,1009,Only Always,Kimberly S. Maloomian,Kimberly S. Maloomian,82.00,$90
33479,11988,83,"$300 AO Hunter 3'3""/3'6"" 18-35-Handy/36+-Handy",2,1008,Lost Boy,Kimberly S. Maloomian,Terry S Maloomian,79.00,$66
33479,11988,83,"$300 AO Hunter 3'3""/3'6"" 18-35-Handy/36+-Handy",3,1926,Costello,Allison Beck,Allison Beck,45.00,$45
33480,11988,84,"AO Hunter 3'3""/3'6"" U/S",1,1009,Only Always,Kimberly S. Maloomian,Kimberly S. Maloomian,,
33480,11988,84,"AO Hunter 3'3""/3'6"" U/S",2,1008,Lost Boy,Kimberly S. Maloomian,Terry S Maloomian,,
33480,11988,84,"AO Hunter 3'3""/3'6"" U/S",3,1926,Costello,Allison Beck,Allison Beck,,
28760,10326,100,"$300 Junior Hunter 3'6""",1,1908,Gosset Rose,Evana Somareddy,Plain Bay Farm,78.00,$90
28760,10326,100,"$300 Junior Hunter 3'6""",2,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,65.00,$66
28760,10326,100,"$300 Junior Hunter 3'6""",3,1911,Quick Moon,Evana Somareddy,Unknown Person,45.00,$45
28761,10326,101,"$300 Junior Hunter 3'6"" (1st rnd Classic)",1,1908,Gosset Rose,Evana Somareddy,Plain Bay Farm,75.00,$90
28761,10326,101,"$300 Junior Hunter 3'6"" (1st rnd Classic)",2,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,73.00,$66
28761,10326,101,"$300 Junior Hunter 3'6"" (1st rnd Classic)",3,1911,Quick Moon,Evana Somareddy,Unknown Person,45.00,$45
28762,10326,102,"$300 Junior Hunter 3'6""",1,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,30.00,$90
28763,10326,103,"$300 Junior Hunter 3'6""-Handy",1,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,40.00,$90
28764,10326,104,"Junior Hunter 3'6"" U/S",1,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,,
28764,10326,104,"Junior Hunter 3'6"" U/S",2,1911,Quick Moon,Evana Somareddy,Unknown Person,,
28764,10326,104,"Junior Hunter 3'6"" U/S",3,1908,Gosset Rose,Evana Somareddy,Plain Bay Farm,,
28820,10333,120,"$300 Junior Hunter 3'3""",1,1835,Sulu,Olivia Boan,Olivia Boan,79.00,$90
28820,10333,120,"$300 Junior Hunter 3'3""",2,1016,Maxwell,Cassie Kelly,"Ashcombe Sporthorses, LLC",75.00,$66
28820,10333,120,"$300 Junior Hunter 3'3""",3,1185,Macallan,Reagan Brown,Reagan Brown,73.00,$45
28820,10333,120,"$300 Junior Hunter 3'3""",4,1834,Gotham,Sophia Williams,Lauren Hatley,72.00,$36
28820,10333,120,"$300 Junior Hunter 3'3""",5,1190,Talk To Me,Kendall King,Kendall King,70.00,$33
28820,10333,120,"$300 Junior Hunter 3'3""",6,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,68.00,$30
28821,10333,121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",1,1190,Talk To Me,Kendall King,Kendall King,84.00,$90
28821,10333,121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",2,1016,Maxwell,Cassie Kelly,"Ashcombe Sporthorses, LLC",83.00,$66
28821,10333,121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",3,1835,Sulu,Olivia Boan,Olivia Boan,82.00,$45
28821,10333,121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",4,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,77.00,$36
28821,10333,121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",5,1185,Macallan,Reagan Brown,Reagan Brown,70.00,$33
28821,10333,121,"$300 Junior Hunter 3'3"" (1st rnd Classic)",6,1834,Gotham,Sophia Williams,Lauren Hatley,66.00,$30
28822,10333,122,"$300 Junior Hunter 3'3""",1,1835,Sulu,Olivia Boan,Olivia Boan,80.00,$90
28822,10333,122,"$300 Junior Hunter 3'3""",2,1185,Macallan,Reagan Brown,Reagan Brown,79.00,$66
28822,10333,122,"$300 Junior Hunter 3'3""",3,1016,Maxwell,Cassie Kelly,"Ashcombe Sporthorses, LLC",78.00,$45
28822,10333,122,"$300 Junior Hunter 3'3""",4,1190,Talk To Me,Kendall King,Kendall King,77.00,$36
28822,10333,122,"$300 Junior Hunter 3'3""",5,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,76.00,$33
28822,10333,122,"$300 Junior Hunter 3'3""",6,1834,Gotham,Sophia Williams,Lauren Hatley,40.00,$30
28823,10333,123,"$300 Junior Hunter 3'3"" -Handy",1,1190,Talk To Me,Kendall King,Kendall King,84.00,$90
28823,10333,123,"$300 Junior Hunter 3'3"" -Handy",2,1016,Maxwell,Cassie Kelly,"Ashcombe Sporthorses, LLC",83.00,$66
28823,10333,123,"$300 Junior Hunter 3'3"" -Handy",3,1185,Macallan,Reagan Brown,Reagan Brown,77.00,$45
28823,10333,123,"$300 Junior Hunter 3'3"" -Handy",4,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,70.00,$36
28823,10333,123,"$300 Junior Hunter 3'3"" -Handy",5,1834,Gotham,Sophia Williams,Lauren Hatley,68.00,$33
28823,10333,123,"$300 Junior Hunter 3'3"" -Handy",6,1835,Sulu,Olivia Boan,Olivia Boan,40.00,$30
28824,10333,124,"Junior Hunter 3'3"" U/S",1,1016,Maxwell,Cassie Kelly,"Ashcombe Sporthorses, LLC",,
28824,10333,124,"Junior Hunter 3'3"" U/S",2,1185,Macallan,Reagan Brown,Reagan Brown,,
28824,10333,124,"Junior Hunter 3'3"" U/S",3,1190,Talk To Me,Kendall King,Kendall King,,
28824,10333,124,"Junior Hunter 3'3"" U/S",4,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,,
28824,10333,124,"Junior Hunter 3'3"" U/S",5,1835,Sulu,Olivia Boan,Olivia Boan,,
28824,10333,124,"Junior Hunter 3'3"" U/S",6,1834,Gotham,Sophia Williams,Lauren Hatley,,
28355,10338,182,"$200 Pony Conf Hunter 2'3""/2'6""/2'9""",1,1255,Nr Golden Graham,Ella de Hechavarria,Unknown Person,,$60
28355,10338,182,"$200 Pony Conf Hunter 2'3""/2'6""/2'9""",2,2103,Heaven's Dance,Britton Bobowski,Britton Bobowski,,$44
28355,10338,182,"$200 Pony Conf Hunter 2'3""/2'6""/2'9""",,1997,Bounty Rose,Zoe Brandan,Zoe Brandan,,
28780,10338,183,"$200 Pony Hunter 2'3""/2'6""/2'9"" (1st rnd Cl)",1,2103,Heaven's Dance,Britton Bobowski,Britton Bobowski,,$60
28780,10338,183,"$200 Pony Hunter 2'3""/2'6""/2'9"" (1st rnd Cl)",2,1255,Nr Golden Graham,Ella de Hechavarria,Unknown Person,,$44
28780,10338,183,"$200 Pony Hunter 2'3""/2'6""/2'9"" (1st rnd Cl)",3,1997,Bounty Rose,Zoe Brandan,Zoe Brandan,,$30
28781,10338,184,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""",1,1255,Nr Golden Graham,Ella de Hechavarria,Unknown Person,0.00,$60
28781,10338,184,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""",2,2103,Heaven's Dance,Britton Bobowski,Britton Bobowski,0.00,$44
28781,10338,184,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""",3,1997,Bounty Rose,Zoe Brandan,Zoe Brandan,0.00,$30
28782,10338,185,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""-Handy",1,1255,Nr Golden Graham,Ella de Hechavarria,Unknown Person,0.00,$60
28782,10338,185,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""-Handy",2,1997,Bounty Rose,Zoe Brandan,Zoe Brandan,0.00,$44
28782,10338,185,"$200 Pony Hunter Sm2'3""/Med2'6""/Lg2'9""-Handy",3,2103,Heaven's Dance,Britton Bobowski,Britton Bobowski,0.00,$30
28783,10338,186,"Pony Hunter Sm2'3""/Med2'6""/Lg2'9"" U/S",1,2103,Heaven's Dance,Britton Bobowski,Britton Bobowski,,
28783,10338,186,"Pony Hunter Sm2'3""/Med2'6""/Lg2'9"" U/S",2,1255,Nr Golden Graham,Ella de Hechavarria,Unknown Person,,
28783,10338,186,"Pony Hunter Sm2'3""/Med2'6""/Lg2'9"" U/S",3,1997,Bounty Rose,Zoe Brandan,Zoe Brandan,,
28366,10348,200,$175 Children's Hunter 3',1,1929,Alesso,Windsor Ryan,Windsor Stables LLC,85.00,$52.5
28366,10348,200,$175 Children's Hunter 3',2,1930,Champ,Windsor Ryan,Windsor Stables LLC,82.00,$38.5
28366,10348,200,$175 Children's Hunter 3',3,1520,Verdi,Scarlett Yana,Scarlett Yana,79.00,$26.25
28366,10348,200,$175 Children's Hunter 3',4,1654,Fever Dream,Riley Hilliard,Riley Hilliard,76.00,$21
28366,10348,200,$175 Children's Hunter 3',5,1840,Glendorado,Olivia Gore,Olivia Gore,75.00,$19.25
28366,10348,200,$175 Children's Hunter 3',6,1528,Mtm Crowd Favorite,Summer Smith,Alexandra Addison,72.00,$17.5
28366,10348,200,$175 Children's Hunter 3',7,1187,Phantom,Adelyn Miller,Adelyn Miller,67.00,
28366,10348,200,$175 Children's Hunter 3',8,2101,Collin Fz Z,Brooke Billesdon,Brooke Billesdon,65.00,
28366,10348,200,$175 Children's Hunter 3',,2104,Lunada Bay,Brooke Billesdon,Kathryn Billesdon,55.00,
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',1,1930,Champ,Windsor Ryan,Windsor Stables LLC,85.00,$52.5
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',2,1929,Alesso,Windsor Ryan,Windsor Stables LLC,83.00,$38.5
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',3,2101,Collin Fz Z,Brooke Billesdon,Brooke Billesdon,81.00,$26.25
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',4,1520,Verdi,Scarlett Yana,Scarlett Yana,80.00,$21
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',5,1528,Mtm Crowd Favorite,Summer Smith,Alexandra Addison,78.00,$19.25
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',6,1654,Fever Dream,Riley Hilliard,Riley Hilliard,74.00,$17.5
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',7,1840,Glendorado,Olivia Gore,Olivia Gore,73.00,
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',8,1187,Phantom,Adelyn Miller,Adelyn Miller,69.00,
28367,10348,201,$175 Children's Hunter (1st rnd Classic) 3',,2104,Lunada Bay,Brooke Billesdon,Kathryn Billesdon,65.00,
28767,10348,202,$175 Children's Hunter 3',1,2104,Lunada Bay,Brooke Billesdon,Kathryn Billesdon,84.00,$52.5
28767,10348,202,$175 Children's Hunter 3',2,1930,Champ,Windsor Ryan,Windsor Stables LLC,83.50,$38.5
28767,10348,202,$175 Children's Hunter 3',3,1520,Verdi,Scarlett Yana,Scarlett Yana,83.00,$26.25
28767,10348,202,$175 Children's Hunter 3',4,1929,Alesso,Windsor Ryan,Windsor Stables LLC,81.00,$21
28767,10348,202,$175 Children's Hunter 3',5,1528,Mtm Crowd Favorite,Summer Smith,Alexandra Addison,75.00,$19.25
28767,10348,202,$175 Children's Hunter 3',6,1840,Glendorado,Olivia Gore,Olivia Gore,70.00,$17.5
28767,10348,202,$175 Children's Hunter 3',7,1187,Phantom,Adelyn Miller,Adelyn Miller,65.00,
28767,10348,202,$175 Children's Hunter 3',8,1654,Fever Dream,Riley Hilliard,Riley Hilliard,43.00,
28767,10348,202,$175 Children's Hunter 3',,2101,Collin Fz Z,Brooke Billesdon,Brooke Billesdon,0.00,
28768,10348,203,$175 Children's Hunter 3',1,1929,Alesso,Windsor Ryan,Windsor Stables LLC,83.00,$52.5
28768,10348,203,$175 Children's Hunter 3',2,1528,Mtm Crowd Favorite,Summer Smith,Alexandra Addison,81.00,$38.5
28768,10348,203,$175 Children's Hunter 3',3,1840,Glendorado,Olivia Gore,Olivia Gore,80.00,$26.25
28768,10348,203,$175 Children's Hunter 3',4,2104,Lunada Bay,Brooke Billesdon,Kathryn Billesdon,78.00,$21
28768,10348,203,$175 Children's Hunter 3',5,1930,Champ,Windsor Ryan,Windsor Stables LLC,75.00,$19.25
28768,10348,203,$175 Children's Hunter 3',6,1654,Fever Dream,Riley Hilliard,Riley Hilliard,65.00,$17.5
28768,10348,203,$175 Children's Hunter 3',7,1520,Verdi,Scarlett Yana,Scarlett Yana,55.00,
28768,10348,203,$175 Children's Hunter 3',8,1187,Phantom,Adelyn Miller,Adelyn Miller,40.00,
28769,10348,204,Children's Hunter U/S 3',1,1654,Fever Dream,Riley Hilliard,Riley Hilliard,,
28769,10348,204,Children's Hunter U/S 3',2,1528,Mtm Crowd Favorite,Summer Smith,Alexandra Addison,,
28769,10348,204,Children's Hunter U/S 3',3,2101,Collin Fz Z,Brooke Billesdon,Brooke Billesdon,,
28769,10348,204,Children's Hunter U/S 3',4,1929,Alesso,Windsor Ryan,Windsor Stables LLC,,
28769,10348,204,Children's Hunter U/S 3',5,2104,Lunada Bay,Brooke Billesdon,Kathryn Billesdon,,
28769,10348,204,Children's Hunter U/S 3',6,1520,Verdi,Scarlett Yana,Scarlett Yana,,
28769,10348,204,Children's Hunter U/S 3',7,1187,Phantom,Adelyn Miller,Adelyn Miller,,
28769,10348,204,Children's Hunter U/S 3',8,1840,Glendorado,Olivia Gore,Olivia Gore,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",1,1254,Howie Do It,Claire de Hechavarria,Finley Morgan,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",2,1174,Café Con Leche,Amelia Hollis,Amelia Hollis,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",3,1841,Pixar,Chloe Hawbaker,Dana Long,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",4,1179,Right On Target,Avery Kranitz,Avery Kranitz,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",5,2048,Faylin’s Baby Boomer,Kennedy Donaldson,Markie Morrison,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",6,2026,Marvel Comic,Halen Bobowski,Joe Currais,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",7,2435,Take A Chance On Me,Cara Babington,Cara Babington,,
33471,11987,210,"Low Child Pony/Child Hunter Pony 2'/2'6""",8,1998,Timbit,Zoe Brandan,Lilly English,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),1,1254,Howie Do It,Claire de Hechavarria,Finley Morgan,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),2,1841,Pixar,Chloe Hawbaker,Dana Long,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),3,1174,Café Con Leche,Amelia Hollis,Amelia Hollis,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),4,2435,Take A Chance On Me,Cara Babington,Cara Babington,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),5,1998,Timbit,Zoe Brandan,Lilly English,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),6,2048,Faylin’s Baby Boomer,Kennedy Donaldson,Markie Morrison,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),7,2026,Marvel Comic,Halen Bobowski,Joe Currais,,
33472,11987,211,Low Child Pony/Child Hunter Pony (1st rnd Classic),8,1179,Right On Target,Avery Kranitz,Avery Kranitz,,
33473,11987,212,"Low Child Pony/Child Hunter Pony 2'/2'6""",1,1254,Howie Do It,Claire de Hechavarria,Finley Morgan,0.00,
33473,11987,212,"Low Child Pony/Child Hunter Pony 2'/2'6""",2,2026,Marvel Comic,Halen Bobowski,Joe Currais,0.00,
